hcid,padrow,pad,ADC_sum,adc_0,adc_1,adc_2,adc_3,adc_4,adc_5,adc_6,adc_7,adc_8,adc_9,adc_10,adc_11,adc_12,adc_13,adc_14,adc_15,adc_16,adc_17,adc_18,adc_19,adc_20,adc_21,adc_22,adc_23,adc_24,adc_25,adc_26,adc_27,adc_28,adc_29
79,10,126,305,13,11,10,9,9,10,9,11,10,10,8,11,12,13,9,12,8,11,8,9,11,9,11,10,9,12,12,8,11,9
79,9,129,314,9,11,11,10,10,10,13,10,9,11,9,8,11,11,10,10,11,9,10,8,10,10,11,13,10,11,11,13,12,12
79,9,125,443,12,7,14,8,11,11,9,10,9,9,11,10,9,15,13,15,12,13,15,22,27,26,26,27,20,20,17,16,15,14
79,9,125,443,12,7,14,8,11,11,9,10,9,9,11,10,9,15,13,15,12,13,15,22,27,26,26,27,20,20,17,16,15,14
79,9,128,478,21,32,30,26,26,21,21,20,17,15,18,15,15,14,13,14,10,13,12,12,12,12,11,13,10,10,11,11,11,12
79,9,127,1389,30,52,46,53,55,57,78,81,81,99,109,82,63,54,49,43,40,33,31,29,30,25,25,24,23,23,20,20,18,16
79,9,127,1389,30,52,46,53,55,57,78,81,81,99,109,82,63,54,49,43,40,33,31,29,30,25,25,24,23,23,20,20,18,16
79,9,126,1260,10,14,13,15,14,17,27,35,41,66,80,61,63,65,69,66,53,43,40,56,68,60,52,49,40,32,31,30,25,25
79,9,126,1260,10,14,13,15,14,17,27,35,41,66,80,61,63,65,69,66,53,43,40,56,68,60,52,49,40,32,31,30,25,25
109,0,100,342,11,15,15,19,17,15,10,10,13,11,10,12,11,10,9,12,11,11,11,9,10,11,10,10,10,11,10,9,9,10
109,0,99,1052,19,40,73,130,114,83,68,56,46,35,30,28,25,24,24,24,20,19,18,17,16,17,19,18,18,15,14,15,14,13
109,1,98,294,10,10,9,9,9,11,9,8,11,10,10,9,9,7,11,10,11,11,10,9,12,10,10,12,12,9,9,10,7,10
109,0,94,473,8,11,10,11,10,9,10,11,11,10,10,10,9,8,8,12,10,13,20,41,50,39,27,21,17,18,15,12,15,17
109,0,98,1676,12,23,75,143,140,150,162,142,108,82,68,58,51,44,41,37,34,31,30,28,26,24,23,22,23,22,19,19,21,18
109,1,101,320,11,14,13,11,14,11,11,11,10,11,10,14,10,12,9,10,11,11,10,9,9,8,11,9,11,10,11,10,10,8
109,0,97,1039,11,12,16,17,21,29,35,37,41,49,66,97,99,77,58,43,37,34,31,28,24,24,23,23,18,20,19,17,18,15
109,1,100,519,28,48,37,31,30,27,20,17,16,15,16,12,14,15,13,14,14,12,13,12,12,11,15,11,12,11,12,11,9,11
109,0,96,947,11,11,11,10,7,11,6,10,11,11,26,56,76,72,68,65,55,53,50,51,49,38,31,28,27,24,22,21,19,17
109,1,99,436,17,27,18,24,28,22,19,16,13,14,13,13,12,11,13,13,11,12,13,12,12,11,11,12,13,11,10,11,13,11
109,0,95,1159,12,11,9,11,8,8,10,12,11,9,10,13,13,13,17,20,26,42,84,158,168,127,87,59,48,41,37,35,30,30
113,2,131,305,11,13,11,11,10,10,11,12,11,11,9,10,9,9,10,11,10,10,9,10,10,12,9,9,7,10,11,11,8,10
113,2,130,409,15,28,22,25,22,17,16,13,13,13,13,12,11,13,11,12,11,11,10,11,10,10,11,15,11,11,10,11,11,10
113,2,129,664,20,49,55,63,57,40,31,28,23,17,19,17,18,15,15,15,13,15,17,14,14,12,12,13,12,13,12,12,11,12
113,2,123,309,11,11,10,10,11,12,9,11,9,11,8,10,9,9,10,10,10,7,12,9,14,12,10,12,13,10,9,9,12,9
113,2,128,668,10,20,25,33,40,63,52,42,37,28,26,23,20,21,20,17,16,17,16,14,15,13,12,12,13,14,12,13,11,13
113,2,124,489,9,10,10,10,11,9,10,11,8,10,10,10,9,10,13,12,12,16,26,34,41,38,32,27,20,18,16,16,15,16
113,2,127,658,10,13,10,10,14,22,21,31,41,51,54,47,37,29,27,23,21,18,18,16,17,16,14,16,14,14,14,15,13,12
113,2,127,658,10,13,10,10,14,22,21,31,41,51,54,47,37,29,27,23,21,18,18,16,17,16,14,16,14,14,14,15,13,12
113,2,126,591,11,12,10,11,8,9,9,11,13,18,31,32,31,40,49,39,32,27,23,20,21,16,15,18,18,15,12,14,14,12
113,2,126,591,11,12,10,11,8,9,9,11,13,18,31,32,31,40,49,39,32,27,23,20,21,16,15,18,18,15,12,14,14,12
113,2,125,570,12,9,13,10,12,10,9,11,10,10,9,11,12,19,23,25,28,34,46,43,39,31,24,19,21,18,17,17,16,12
113,2,125,570,12,9,13,10,12,10,9,11,10,10,9,11,12,19,23,25,28,34,46,43,39,31,24,19,21,18,17,17,16,12
115,2,139,294,10,11,10,10,10,12,10,9,11,10,9,11,8,9,8,8,8,10,10,10,7,11,11,12,10,8,11,11,10,9
