column;detector;hcid;padrow;position;uncal_slope;slope;uncal_dy;uncal_y;dy;x;y;z
2;129;259;6;1787;-0.005;0.0296248;-0.070325;113.533;0.428612;337.775;113.533;136.75
2;129;259;6;1846;0.036;0.0706248;0.50634;114.27;1.0218;337.775;114.27;136.75
2;130;261;6;70;0.046;0.0785772;0.673762;118.083;1.20263;350.375;118.083;141
2;130;261;6;67;0.041;0.0735772;0.600527;118.046;1.12611;350.375;118.046;141
2;150;300;11;1449;-0.048;-0.00995704;-0.591312;37.7187;-0.127381;299.975;37.7187;214.75
1;151;302;9;1730;-0.034;0.00319892;-0.438634;22.8281;0.0426807;312.575;22.8281;229.75
3;216;433;12;1711;0.048;0.0861549;0.591312;130.994;1.08826;299.975;130.994;83.25
3;216;433;12;1720;0.058;0.0961549;0.714502;131.106;1.21457;299.975;131.106;83.25
3;217;435;11;1981;0.059;0.0879734;0.761159;133.966;1.3654;312.575;133.966;90.75
3;217;435;11;1962;0.039;0.0679734;0.503139;133.728;1.05499;312.575;133.728;90.75
1;217;435;15;150;0.004;0.0329734;0.051604;100.678;0.511767;312.575;100.678;60.75
1;217;435;15;154;0.007;0.0359734;0.090307;100.728;0.558328;312.575;100.728;60.75
0;218;436;8;1692;-0.009;0.0249321;-0.121347;4.75099;0.352388;325.175;4.75104;116.5
3;218;437;11;139;0.043;0.0769321;0.579769;136.938;1.08735;325.175;136.939;92.5
3;218;437;11;147;0.046;0.0799321;0.620218;137.038;1.12975;325.175;137.039;92.5
1;218;437;15;226;0.011;0.0449321;0.148313;102.026;0.635067;325.175;102.026;60.75
1;218;437;15;224;0.009;0.0429321;0.121347;102.001;0.606799;325.175;102.001;60.75
0;220;440;7;276;-0.03;-0.00655911;-0.43941;12.6581;-0.122427;350.375;12.6582;132
0;220;440;7;291;-0.017;0.00644089;-0.248999;12.8456;0.12022;350.375;12.8457;132
3;220;441;11;565;-0.011;0.0124409;-0.161117;142.271;0.232211;350.375;142.271;96
3;220;441;12;143;-0.057;-0.0335591;-0.834879;136.996;-0.626386;350.375;136.996;87
1;220;441;14;380;0;0.0234409;0;103.958;0.437528;350.375;103.958;69
1;220;441;14;382;0.001;0.0244409;0.014647;103.983;0.456193;350.375;103.983;69
1;224;449;5;1856;0.014;0.0483603;0.188762;96.8261;0.677846;325.175;96.8262;4.5
1;224;449;5;1875;0.027;0.0613603;0.364041;97.0636;0.860061;325.175;97.0637;4.5
1;224;449;6;1824;0.034;0.0683603;0.458422;96.4261;0.958177;325.175;96.4262;-4.5
1;224;449;6;2047;-0.052;-0.0176397;-0.701116;99.2136;-0.247247;325.175;99.2137;-4.5
1;224;449;6;6;-0.053;-0.0186397;-0.714599;99.3011;-0.261264;325.175;99.3012;-4.5
1;224;449;7;1892;0.061;0.0953603;0.822463;97.2761;1.33662;325.175;97.2762;-13.5
1;224;449;7;205;-0.035;-0.000639665;-0.471905;101.789;-0.0089659;325.175;101.789;-13.5
0;450;900;14;602;0.006;0.043973;0.073914;16.7312;0.551328;299.975;16.7312;192.25
1;451;902;13;1498;0.004;0.040387;0.051604;19.9281;0.543038;312.575;19.9281;199.75
1;453;906;13;46;-0.01;0.0228926;-0.14065;27.3703;0.338127;337.775;27.3703;215.25
1;453;906;13;61;0.001;0.0338926;0.014065;27.5578;0.500598;337.775;27.5578;215.25
1;454;908;13;388;-0.002;0.0301;-0.029294;32.0581;0.450881;350.375;32.0581;223
1;454;908;13;401;0.007;0.0391;0.102529;32.2206;0.585696;350.375;32.2206;223
0;44;88;4;161;-0.033;0.00152466;-0.444939;11.2386;0.0214213;325.175;11.2386;13.5
0;44;88;4;543;-0.05;-0.0154753;-0.67415;16.0136;-0.217427;325.175;16.0136;13.5
2;46;93;2;1935;-0.059;-0.0258172;-0.864173;115.796;-0.386867;350.375;115.796;31.5
2;47;95;1;1428;-0.047;-0.0147877;-0.715763;109.05;-0.231045;362.975;109.05;40.5
2;47;95;1;1429;-0.046;-0.0137877;-0.700534;109.062;-0.215421;362.975;109.062;40.5
2;174;348;13;1640;0.017;0.0556039;0.209423;40.1062;0.711362;299.975;40.1062;-282.25
2;174;348;14;1690;0.002;0.0406039;0.024638;40.7312;0.519461;299.975;40.7312;-289.75
2;174;348;14;1697;0.009;0.0476039;0.110871;40.8187;0.609015;299.975;40.8187;-289.75
2;175;350;15;86;0.041;0.078234;0.528941;45.8781;1.0352;312.575;45.8781;-297.25
2;176;352;14;439;0.022;0.0576357;0.296626;50.6885;0.804115;325.175;50.6885;-303.5
3;177;354;14;1502;0.024;0.0576857;0.33756;55.9703;0.841713;337.775;55.9703;-317.25
3;178;356;14;1853;-0.007;0.026432;-0.102529;60.7706;0.397684;350.375;60.7706;-331
3;178;356;14;1898;0.025;0.058432;0.366175;61.3331;0.879142;350.375;61.3331;-331
3;179;358;14;238;0.031;0.0623508;0.472099;65.7748;0.978701;362.975;65.7748;-334
3;179;358;15;227;-0.002;0.0293508;-0.030458;65.6373;0.46071;362.975;65.6373;-342.75
0;186;373;1;1727;-0.03;0.00895595;-0.36957;77.1937;0.113462;299.975;77.1937;165.75
0;186;373;2;1742;-0.013;0.0259559;-0.160147;77.3812;0.328834;299.975;77.3812;158.25
0;187;375;1;1837;0.043;0.0805079;0.554743;78.1656;1.06693;312.575;78.1656;165.75
0;189;379;1;2004;0.013;0.0469693;0.182845;80.2453;0.681693;337.775;80.2453;179.25
1;203;407;12;179;-0.009;0.0221501;-0.137061;101.037;0.348674;362.975;101.037;-169
1;203;407;12;260;0.047;0.0781501;0.715763;102.05;1.23019;362.975;102.05;-169
1;203;407;13;1599;-0.037;-0.00584986;-0.563473;93.1873;-0.0920851;362.975;93.1873;-178
1;203;407;13;1601;-0.037;-0.00584986;-0.563473;93.2123;-0.0920851;362.975;93.2123;-178
1;468;936;2;169;-0.017;0.0218819;-0.209423;29.3187;0.275021;299.975;29.3187;-75.75
1;469;938;2;292;-0.013;0.0240321;-0.167713;30.4531;0.319819;312.575;30.4531;-75.75
1;471;942;3;477;-0.012;0.0217937;-0.16878;32.7578;0.317601;337.775;32.7578;-85.75
1;472;944;3;563;-0.008;0.0253304;-0.117176;34.2456;0.380187;350.375;34.2456;-87
0;486;973;13;401;0.008;0.0462015;0.098552;86.2187;0.588552;299.975;86.2187;75.75
0;486;973;13;446;0.039;0.0772015;0.480441;86.7812;0.983455;299.975;86.7812;75.75
1;487;975;12;1608;-0.02;0.0173842;-0.25802;93.3031;0.23033;312.575;93.3031;83.25
1;487;975;12;1613;-0.017;0.0203842;-0.219317;93.3656;0.270078;312.575;93.3656;83.25
1;488;977;12;224;0.041;0.075943;0.552803;102.001;1.06155;325.175;102.001;84.5
1;489;979;12;788;0.058;0.0922075;0.81577;108.645;1.33023;337.775;108.645;85.75
2;489;979;12;1373;0;0.0342075;0;108.358;0.493496;337.775;108.358;85.75
2;507;1015;4;111;0.055;0.0878193;0.773575;118.183;1.27039;337.775;118.183;-232.25
2;507;1015;4;82;0.025;0.0578193;0.351625;117.82;0.836409;337.775;117.82;-232.25
2;508;1017;4;285;0.04;0.0720885;0.58588;120.771;1.08956;350.375;120.771;-241
2;509;1019;5;478;0.016;0.0469398;0.243664;122.775;0.731047;362.975;122.775;-253
2;509;1019;5;505;0.035;0.0659398;0.533015;123.112;1.02696;362.975;123.112;-253
3;522;1044;7;521;0.02;0.0580996;0.24638;69.76;0.74162;299.975;69.7599;-13.5
3;523;1046;7;754;0.012;0.0492655;0.154812;72.1887;0.648922;312.575;72.1887;-13.5
0;523;1047;7;1365;0.013;0.0502655;0.167713;72.2262;0.662094;312.575;72.2262;-13.5
0;524;1049;8;1540;-0.014;0.0207398;-0.188762;74.8761;0.295241;325.175;74.8761;-22.5
0;524;1049;8;1562;0.002;0.0367398;0.026966;75.1511;0.52301;325.175;75.1511;-22.5
0;525;1051;8;1696;-0.016;0.0180266;-0.22504;76.3832;0.259014;337.775;76.3832;-22.5
0;525;1051;8;1732;0.009;0.0430266;0.126585;76.8333;0.618224;337.775;76.8332;-22.5
0;526;1053;8;1962;0.007;0.0392235;0.102529;80.1331;0.601888;350.375;80.1331;-22.5
0;526;1053;8;1974;0.015;0.0472235;0.219705;80.2831;0.724649;350.375;80.2831;-22.5
0;527;1055;8;108;0.022;0.0533411;0.335038;82.1498;0.83977;362.975;82.1498;-22.5
1;528;1056;0;1642;-0.019;0.0198897;-0.234061;22.1312;0.250904;299.975;22.1312;-60.75
1;529;1058;0;1743;-0.027;-0.00526723;-0.348327;22.9906;-0.11245;312.575;22.9906;-60.75
1;530;1060;0;1815;-0.019;0.0161319;-0.256177;24.2885;0.22535;325.175;24.2885;-60.75
